REG_ID,SEC_CUR_STAT,SEC_NAME,SEC_TITLE,Days,Time,Faculty,FAC_ID1_PREFERRED_LN,FAC_ID2_PREFERRED_LN,FAC_ID2_PREFERRED_LN1,SeatsAvailableScheduledCapacity,CR_MIN,CR_MAX,Textbox8
92863,Active,ALS-101-01,Alternate Language Study,AR  ,,"Izmaylova, Anastasia ","Izmaylova, Anastasia",,,45 /45 ,1.00000,,RECORD COUNT 695
93334,Active,ALS-111-01,Brazilian Portuguese I,AR  ,,"Izmaylova, Anastasia ","Izmaylova, Anastasia",,,8  /8  ,2.00000,,RECORD COUNT 695
93335,Active,ALS-112-01,Brazilian Portuguese II,AR  ,,"Izmaylova, Anastasia ","Izmaylova, Anastasia",,,8  /8  ,2.00000,,RECORD COUNT 695
93336,Active,ALS-113-01,Brazilian Portuguese III,AR  ,,"Izmaylova, Anastasia ","Izmaylova, Anastasia",,,8  /8  ,2.00000,,RECORD COUNT 695
93337,Active,ALS-114-01,Brazilian Portuguese IV,AR  ,,"Izmaylova, Anastasia ","Izmaylova, Anastasia",,,10 /10 ,2.00000,,RECORD COUNT 695
93338,Active,ALS-121-01,Korean I,AR  ,,"Izmaylova, Anastasia ","Izmaylova, Anastasia",,,8  /8  ,2.00000,,RECORD COUNT 695
93339,Active,ALS-122-01,Korean II,AR  ,,"Izmaylova, Anastasia ","Izmaylova, Anastasia",,,8  /8  ,2.00000,,RECORD COUNT 695
93340,Active,ALS-123-01,Korean III,AR  ,,"Izmaylova, Anastasia ","Izmaylova, Anastasia",,,8  /8  ,2.00000,,RECORD COUNT 695
93341,Active,ALS-124-01,Korean IV,AR  ,,"Izmaylova, Anastasia ","Izmaylova, Anastasia",,,8  /8  ,2.00000,,RECORD COUNT 695
92588,Active,AMS-130-01,Intro to American Studies,MW  ,10:00 AM - 11:20 AM  ,"Reznick, Jordan ","Reznick, Jordan",,,25 /25 ,4.00000,,RECORD COUNT 695
93454,Active,AMS-215-01,Fdnts of Us Popular Culture,TTH  ,1:00 PM  - 2:20 PM  ,"Purcell, Sarah J ","Purcell, Sarah",,,25 /25 ,4.00000,,RECORD COUNT 695
93972,Active,AMS-295-01,ST: The Camera and the Body,MW  ,1:00 PM  - 2:20 PM  ,"Reznick, Jordan ","Reznick, Jordan",,,20 /20 ,4.00000,,RECORD COUNT 695
93973,Active,AMS-395-01,ST: World-Ending/World-Making,MW  ,2:30 PM  - 3:50 PM  ,"Reznick, Jordan ","Reznick, Jordan",,,20 /20 ,4.00000,,RECORD COUNT 695
92429,Active,ANT-104-01,Anthropological Inquiries,MWF  ,8:00 AM  - 8:50 AM  ,"Kulstad, Tess ","Kulstad, Tess",,,25 /25 ,4.00000,,RECORD COUNT 695
92431,Active,ANT-104-02,Anthropological Inquiries,MWF  ,10:00 AM - 10:50 AM  ,"Kohl, Owen N ","Kohl, Owen",,,25 /25 ,4.00000,,RECORD COUNT 695
92430,Active,ANT-104-03,Anthropological Inquiries,MWF  ,1:00 PM  - 1:50 PM  ,"Ng, Laura Wai ","Ng, Laura",,,25 /25 ,4.00000,,RECORD COUNT 695
92427,Active,ANT-104-04,Anthropological Inquiries,MWF  ,3:00 PM  - 3:50 PM  ,"Kohl, Owen N ","Kohl, Owen",,,25 /25 ,4.00000,,RECORD COUNT 695
92428,Closed (active),ANT-104-05,Anthropological Inquiries,TTH  ,8:30 AM  - 9:50 AM  ,"Staff, - ","Staff, -",,,25 /25 ,4.00000,,RECORD COUNT 695
92432,Closed (active),ANT-225-01,Bio-determinsm & Myth of Race,TTH  ,1:00 PM  - 2:20 PM  ,"Staff, - ","Staff, -",,,20 /20 ,4.00000,,RECORD COUNT 695
92762,Active,ANT-233-01,Anthropology of Borderlands,MWF  ,11:00 AM - 11:50 AM  ,"Kulstad, Tess ","Kulstad, Tess",,,20 /20 ,4.00000,,RECORD COUNT 695
92763,Active,ANT-263-01,Historical Archaeology,MW  ,10:00 AM - 11:20 AM  ,"Ng, Laura Wai ","Ng, Laura",,,15 /15 ,4.00000,,RECORD COUNT 695
92433,Active,ANT-265-01,Ethngrphy of Comm: Mthd & Thry,MWF  ,1:00 PM  - 1:50 PM  ,"Kohl, Owen N ","Kohl, Owen",,,20 /20 ,4.00000,,RECORD COUNT 695
92434,Active,ANT-280-01,Theories of Culture,MWF  ,9:00 AM  - 9:50 AM  ,"Kulstad, Tess ","Kulstad, Tess",,,20 /20 ,4.00000,,RECORD COUNT 695
92636,Active,ANT-291-01,Meth Empirical Investigation,T TH,10:00 AM - 11:50 AM 10:00 AM - 10:50 AM,"Francisco, Sara C ","Francisco, Sara",,,18 /18 ,4.00000,,RECORD COUNT 695
93588,Active,ANT-295-01,ST: Graphic Medicine,T TH,10:00 AM - 11:50 AM 10:00 AM - 10:50 AM,"Tapias, Maria ","Tapias, Maria",,,20 /20 ,4.00000,,RECORD COUNT 695
93589,Active,ANT-295-02,ST: Evolution and Running,T  ,1:00 PM  - 3:50 PM  ,"Bentley-Condit, Vicki K ","Bentley-Condit, Vicki",,,20 /20 ,2.00000,,RECORD COUNT 695
93590,Active,ANT-295-03,ST: Evolution & Reproduction,M  ,7:00 PM  - 9:50 PM  ,"Bentley-Condit, Vicki K ","Bentley-Condit, Vicki",,,20 /20 ,2.00000,,RECORD COUNT 695
93635,Active,ANT-295-04,ST: Feminist Anthropology,MW  ,10:00 AM - 11:20 AM  ,"French, Brigittine ","French, Brigittine",,,20 /20 ,4.00000,,RECORD COUNT 695
93591,Active,ANT-395-01,ST: Ethnographic Genres,TTH  ,1:00 PM  - 2:20 PM  ,"Tapias, Maria ","Tapias, Maria",,,15 /15 ,4.00000,,RECORD COUNT 695
93593,Active,ANT-395-02,ST: Arch Racialized Comm,MW  ,2:30 PM  - 3:50 PM  ,"Ng, Laura Wai ","Ng, Laura",,,15 /15 ,4.00000,,RECORD COUNT 695
92425,Active,ARB-102-01,Beginning Arabic II,MTWTHF  ,10:00 AM - 10:50 AM  ,"Youssef, Mervat ","Youssef, Mervat",,,25 /25 ,5.00000,,RECORD COUNT 695
92426,Active,ARB-222-01,Intermediate Arabic II,MTWTH  ,11:00 AM - 11:50 AM  ,"Youssef, Mervat ","Youssef, Mervat",,,20 /20 ,4.00000,,RECORD COUNT 695
93984,Active,ARB-295-01,ST: Repressd Voices frm Sudan,M  ,7:00 PM  - 9:50 PM  ,"Staff, - ","Staff, -",,,20 /20 ,2.00000,,RECORD COUNT 695
92438,Active,ARH-103-01,Intro to Art History,MWF  ,1:00 PM  - 1:50 PM  ,"Crites, Danya Alexandra ","Crites, Danya",,,25 /25 ,4.00000,,RECORD COUNT 695
92440,Active,ARH-103-02,Intro to Art History,MWF  ,10:00 AM - 10:50 AM  ,"Mackenzie, Michael ","Mackenzie, Michael",,,25 /25 ,4.00000,,RECORD COUNT 695
93996,Active,ARH-160-01,Introduction to Museum Studies,TTH  ,2:30 PM  - 3:50 PM  ,"Baley, Susan ","Baley, Susan",,,15 /15 ,4.00000,,RECORD COUNT 695
93795,Active,ARH-195-01,ST: SUGAR,MW  ,1:00 PM  - 2:20 PM  ,"Rivera, Alfredo; Levandoski, Mark M","Rivera, Fredo","Levandoski, Mark","Levandoski, Mark",14 /14 ,4.00000,,RECORD COUNT 695
92439,Active,ARH-234-01,Caribbean Art and Viisual Cult,MWF  ,3:00 PM  - 3:50 PM  ,"Rivera, Alfredo ","Rivera, Fredo",,,20 /20 ,4.00000,,RECORD COUNT 695
92442,Active,ARH-248-01,Greek Archaeology & Art,MW  ,1:00 PM  - 2:20 PM  ,"Cummins, Monessa F ","Cummins, Monessa",,,25 /25 ,4.00000,,RECORD COUNT 695
92441,Cancelled,ARH-270-01,Modern Arch & Glblztn,MWF  ,3:00 PM  - 3:50 PM  ,"Rivera, Alfredo ","Rivera, Fredo",,,20 /20 ,4.00000,,RECORD COUNT 695
93971,Active,ARH-295-01,ST: The Camera and the Body,MW  ,1:00 PM  - 2:20 PM  ,"Reznick, Jordan ","Reznick, Jordan",,,20 /20 ,4.00000,,RECORD COUNT 695
93594,Active,ARH-295-02,ST: Medieval Med Art,MW  ,8:30 AM  - 9:50 AM  ,"Crites, Danya Alexandra ","Crites, Danya",,,20 /20 ,4.00000,,RECORD COUNT 695
93595,Active,ARH-295-03,ST: Surrealism,TTH  ,1:00 PM  - 2:20 PM  ,"Anger, Jennifer A ","Anger, Jennifer",,,20 /20 ,4.00000,,RECORD COUNT 695
92437,Active,ARH-380-01,Theory & Methods Art History,TTH  ,8:30 AM  - 9:50 AM  ,"Anger, Jennifer A ","Anger, Jennifer",,,12 /12 ,4.00000,,RECORD COUNT 695
93686,Active,ARH-395-01,ST: The Athenian Acropolis,MW  ,8:30 AM  - 9:50 AM  ,"Cummins, Monessa F ","Cummins, Monessa",,,20 /20 ,4.00000,,RECORD COUNT 695
92649,Active,ART-111-01,Introduction to the Studio,TTH  ,8:00 AM  - 10:50 AM  ,"Kluber, Matthew ","Kluber, Matthew",,,15 /15 ,4.00000,,RECORD COUNT 695
92650,Active,ART-111-02,Introduction to the Studio,TTH  ,8:00 AM  - 10:50 AM  ,"Kaufman, Andrew ","Kaufman, Andrew",,,15 /15 ,4.00000,,RECORD COUNT 695
92651,Active,ART-111-03,Introduction to the Studio,TTH  ,1:00 PM  - 3:50 PM  ,"Kaufman, Andrew ","Kaufman, Andrew",,,15 /15 ,4.00000,,RECORD COUNT 695
92652,Active,ART-134-01,Drawing,MW  ,8:00 AM  - 10:50 AM  ,"Chen, Jeremy D ","Chen, Jeremy",,,15 /15 ,4.00000,,RECORD COUNT 695
92653,Active,ART-134-02,Drawing,MW  ,1:00 PM  - 3:50 PM  ,"Chen, Jeremy D ","Chen, Jeremy",,,15 /15 ,4.00000,,RECORD COUNT 695
92654,Active,ART-134-03,Drawing,TTH  ,1:00 PM  - 3:50 PM  ,"Chen, Jeremy D ","Chen, Jeremy",,,15 /15 ,4.00000,,RECORD COUNT 695
92491,Cancelled,ART-155-01,Introduction to Film Studies,TTH  ,8:00 AM  - 10:50 AM  ,"Tavares, Nicole M ","Tavares, Nicky",,,25 /25 ,4.00000,,RECORD COUNT 695
92655,Active,ART-236-01,Print Media,TTH  ,1:00 PM  - 3:50 PM  ,"Kluber, Matthew ","Kluber, Matthew",,,15 /15 ,4.00000,,RECORD COUNT 695
92656,Cancelled,ART-240-01,Ceramics,MW  ,8:00 AM  - 10:50 AM  ,"Strangfeld, Robin ","Strangfeld, Robin",,,15 /15 ,4.00000,,RECORD COUNT 695
93962,Active,ART-255-01,Fundamentals Video Production,MW  ,8:00 AM  - 10:50 AM  ,"Tavares, Nicole M ","Tavares, Nicky",,,15 /15 ,4.00000,,RECORD COUNT 695
93596,Active,ART-295-01,ST: Abstract Painting,MW  ,1:00 PM  - 3:50 PM  ,"Kaufman, Andrew ","Kaufman, Andrew",,,15 /15 ,4.00000,,RECORD COUNT 695
94025,Active,ART-295-02,ST: Experimental Ceramics,MW  ,8:00 AM  - 10:50 AM  ,"Strangfeld, Robin ","Strangfeld, Robin",,,15 /15 ,4.00000,,RECORD COUNT 695
92657,Active,ART-315-01,Adv Studio: Contemp Practices,MW  ,1:00 PM  - 3:50 PM  ,"Strangfeld, Robin ","Strangfeld, Robin",,,12 /12 ,4.00000,,RECORD COUNT 695
92424,Active,ASC-101-01,Scholars' Seminar,MW  ,1:00 PM  - 2:20 PM  ,"Backous, Belinda S; Ferraro, Katherine Frances","Backous, Belinda","Ferraro, Kate","Ferraro, Kate",20 /20 ,2.00000,,RECORD COUNT 695
93300,Active,BCM-262-01,Intro Biological Chem w/lab,MWF  ,9:00 AM  - 9:50 AM  ,"Levandoski, Mark M ","Levandoski, Mark",,,24 /24 ,4.00000,,RECORD COUNT 695
92977,Active,BCM-262-02,Intro Biological Chem w/lab,MWF  ,10:00 AM - 10:50 AM  ,"Bailey, Charvann ","Bailey, Charvann",,,24 /24 ,4.00000,,RECORD COUNT 695
93053,Active,BCM-262L-01,Intro to Biological Chem Lab,T  ,1:00 PM  - 3:50 PM  ,"Bailey, Charvann ","Bailey, Charvann",,,12 /12 ,0.00000,,RECORD COUNT 695
93054,Active,BCM-262L-02,Intro to Biological Chem Lab,TH  ,8:00 AM  - 10:50 AM  ,"Hattery, Travis ","Hattery, Travis",,,12 /12 ,0.00000,,RECORD COUNT 695
93301,Active,BCM-262L-03,Intro to Biological Chem Lab,TH  ,1:00 PM  - 3:50 PM  ,"Ortiz, Corasi ","Ortiz, Cori",,,12 /12 ,0.00000,,RECORD COUNT 695
93055,Active,BCM-262L-04,Intro to Biological Chem Lab,F  ,1:00 PM  - 3:50 PM  ,"Bailey, Charvann ","Bailey, Charvann",,,12 /12 ,0.00000,,RECORD COUNT 695
92879,Cancelled,BIO-150-01,Intro to Biolgcl Inqry w/lab,WF  ,8:00 AM  - 10:50 AM  ,"Hattery, Travis ","Hattery, Travis",,,24 /24 ,4.00000,,RECORD COUNT 695
92882,Active,BIO-150-01,Intro to Biolgcl Inqry w/lab,WF  ,8:00 AM  - 10:50 AM  ,"Hattery, Travis ","Hattery, Travis",,,24 /24 ,4.00000,,RECORD COUNT 695
93585,Cancelled,BIO-150-02,Intro to Biolgcl Inqry w/lab,MWF  ,10:00 AM - 11:50 AM  ,"Sandquist, Joshua C ","Sandquist, Joshua",,,24 /24 ,4.00000,,RECORD COUNT 695
93910,Active,BIO-150-02,Intro to Biolgcl Inqry w/lab,TTH  ,8:00 AM  - 10:50 AM  ,"Meyers, Peter ","Meyers, Peter",,,24 /24 ,4.00000,,RECORD COUNT 695
92881,Active,BIO-150-03,Intro to Biolgcl Inqry w/lab,MW  ,1:00 PM  - 3:50 PM  ,"Lafontant, Pascal ","Lafontant, Pascal",,,24 /24 ,4.00000,,RECORD COUNT 695
92880,Active,BIO-150-04,Intro to Biolgcl Inqry w/lab,TTH  ,1:00 PM  - 3:50 PM  ,"DeRidder, Benjamin ","DeRidder, Benjamin",,,24 /24 ,4.00000,,RECORD COUNT 695
93597,Active,BIO-195-01,ST: New/Emrgng Infect Disease,MWF  ,11:00 AM - 11:50 AM  ,"Hinsa-Leasure, Shannon; Campbell, David G","Hinsa-Leasure, Shannon","Campbell, David","Campbell, David",15 /15 ,4.00000,,RECORD COUNT 695
92898,Active,BIO-240-01,Animal Behavior w/lab,MWF TH,8:00 AM  - 8:50 AM 1:00 PM  - 3:50 PM ,"Queathem, Elizabeth J ","Queathem, Liz",,,12 /12 ,4.00000,,RECORD COUNT 695
92937,Cancelled,BIO-240L-01,Animal Behavior Lab,T  ,8:00 AM  - 10:50 AM  ,"Queathem, Elizabeth J ","Queathem, Liz",,,12 /12 ,0.00000,,RECORD COUNT 695
92938,Cancelled,BIO-240L-02,Animal Behavior Lab,TH  ,1:00 PM  - 3:50 PM  ,"Queathem, Elizabeth J ","Queathem, Liz",,,12 /12 ,0.00000,,RECORD COUNT 695
92883,Active,BIO-252-01,"Orgnsms, Evoltn, Ecolgy w/lab",MF W,8:00 AM  - 9:50 AM 8:00 AM  - 10:50 AM,"Cooper, Idelle A ","Cooper, Idelle",,,24 /24 ,4.00000,,RECORD COUNT 695
92884,Active,BIO-252-02,"Orgnsms, Evoltn, Ecolgy w/lab",MF W,2:00 PM  - 3:50 PM 1:00 PM  - 3:50 PM ,"Meyers, Peter ","Meyers, Peter",,,24 /24 ,4.00000,,RECORD COUNT 695
92885,Active,BIO-252-03,"Orgnsms, Evoltn, Ecolgy w/lab",MF T,10:00 AM - 11:50 AM 1:00 PM  - 3:50 PM ,"Eckhart, Vincent M ","Eckhart, Vince",,,24 /24 ,4.00000,,RECORD COUNT 695
92887,Active,BIO-334-01,Plant Physiology w/lab,TTH F,8:00 AM  - 9:50 AM 1:00 PM  - 3:50 PM ,"DeRidder, Benjamin ","DeRidder, Benjamin",,,12 /12 ,4.00000,,RECORD COUNT 695
92890,Active,BIO-340-01,Aquatic Biology w/lab,T TH,10:00 AM - 11:50 AM 10:00 AM - 10:50 AM,"Jacobson, Peter J ","Jacobson, Peter",,,12 /12 ,4.00000,,RECORD COUNT 695
92895,Active,BIO-364-01,Animal Physiology w/lab,MF  ,10:00 AM - 11:20 AM  ,"Lafontant, Pascal ","Lafontant, Pascal",,,18 /18 ,4.00000,,RECORD COUNT 695
92896,Active,BIO-364L-01,Animal Physiology Lab,T  ,1:00 PM  - 3:50 PM  ,"Lafontant, Pascal ","Lafontant, Pascal",,,12 /12 ,0.00000,,RECORD COUNT 695
92897,Active,BIO-364L-02,Animal Physiology Lab,W  ,9:00 AM  - 11:50 AM  ,"Lafontant, Pascal ","Lafontant, Pascal",,,12 /12 ,0.00000,,RECORD COUNT 695
92892,Active,BIO-365-01,Microbiology w/lab,MWF  ,9:00 AM  - 9:50 AM  ,"Hinsa-Leasure, Shannon ","Hinsa-Leasure, Shannon",,,18 /18 ,4.00000,,RECORD COUNT 695
92893,Active,BIO-365L-01,Microbiology Lab,T  ,9:00 AM  - 11:50 AM  ,"Hinsa-Leasure, Shannon ","Hinsa-Leasure, Shannon",,,10 /10 ,0.00000,,RECORD COUNT 695
92894,Active,BIO-365L-02,Microbiology Lab,W  ,1:00 PM  - 3:50 PM  ,"Hinsa-Leasure, Shannon ","Hinsa-Leasure, Shannon",,,10 /10 ,0.00000,,RECORD COUNT 695
93911,Active,BIO-370-01,Advanced Cell Biology w/lab,MWF TH,11:00 AM - 11:50 AM 1:00 PM  - 3:50 PM ,"Sandquist, Joshua C ","Sandquist, Joshua",,,12 /12 ,4.00000,,RECORD COUNT 695
93577,Active,BIO-373-01,Mechanisms of Evolution,MWF  ,3:00 PM  - 3:50 PM  ,"Cooper, Idelle A ","Cooper, Idelle",,,18 /18 ,4.00000,,RECORD COUNT 695
93584,Active,BIO-390-01,Readings in Biology,TTH  ,8:30 AM  - 9:50 AM  ,"Eckhart, Vincent M ","Eckhart, Vince",,,18 /18 ,2.00000,,RECORD COUNT 695
93958,Active,BIO-395-01,ST: Light Microscopy for BIO,MW  ,2:00 PM  - 3:50 PM  ,"Sandquist, Joshua C ","Sandquist, Joshua",,,12 /12 ,4.00000,,RECORD COUNT 695
92444,Active,CHI-102-01,Beginning Chinese II,MWF  ,10:00 AM - 10:50 AM  ,"Tang, Qiaomei ","Tang, Qiaomei",,,25 /25 ,4.00000,,RECORD COUNT 695
92445,Active,CHI-102L-01,Beginning Chinese II Lab,TTH  ,10:00 AM - 10:50 AM  ,"Xi, Jie ","Xi, Jie",,,15 /15 ,0.00000,,RECORD COUNT 695
92446,Active,CHI-102L-02,Beginning Chinese II Lab,TTH  ,2:00 PM  - 2:50 PM  ,"Xi, Jie ","Xi, Jie",,,15 /15 ,0.00000,,RECORD COUNT 695
92447,Active,CHI-222-01,Intermediate Chinese II,MWF TTH,11:00 AM - 11:50 AM 1:00 PM  - 1:50 PM ,"Yang, Dong; Staff, -","Yang, Dong","Staff, -","Staff, -",18 /18 ,4.00000,,RECORD COUNT 695
92449,Active,CHI-230-01,Chinese Wm: Past & Present,MW  ,1:00 PM  - 2:20 PM  ,"Yang, Dong ","Yang, Dong",,,25 /25 ,4.00000,,RECORD COUNT 695
92448,Active,CHI-332-01,Advanced Chinese II,MTWTHF  ,9:00 AM  - 9:50 AM  ,"Tang, Qiaomei; Staff, -","Tang, Qiaomei","Staff, -","Staff, -",18 /18 ,4.00000,,RECORD COUNT 695
93282,Active,CHM-129-01,General Chemistry w/lab,MWF  ,8:00 AM  - 9:50 AM  ,"Kamunde-Devonish, Maisha ","Kamunde-Devonish, Maisha",,,24 /24 ,4.00000,,RECORD COUNT 695
93283,Active,CHM-129-02,General Chemistry w/lab,MWF  ,11:00 AM - 11:50 AM  ,"Lyons, Leslie J ","Lyons, Leslie",,,24 /24 ,4.00000,,RECORD COUNT 695
93284,Active,CHM-129-03,General Chemistry w/lab,T TH,10:00 AM - 11:50 AM 10:00 AM - 10:50 AM,"Marzluff, Elaine M ","Marzluff, Elaine",,,24 /24 ,4.00000,,RECORD COUNT 695
93285,Active,CHM-129L-01,General Chemistry Lab,M  ,1:00 PM  - 3:50 PM  ,"MacInnes, Molly M ","MacInnes, Molly",,,24 /24 ,0.00000,,RECORD COUNT 695
93286,Active,CHM-129L-02,General Chemistry Lab,T  ,1:00 PM  - 3:50 PM  ,"Marzluff, Elaine M ","Marzluff, Elaine",,,24 /24 ,0.00000,,RECORD COUNT 695
93796,Active,CHM-195-01,ST: SUGAR,MW  ,1:00 PM  - 2:20 PM  ,"Rivera, Alfredo; Levandoski, Mark M","Rivera, Fredo","Levandoski, Mark","Levandoski, Mark",14 /14 ,4.00000,,RECORD COUNT 695
93287,Active,CHM-210-01,Analyitcal Chemistry w/lab,MWF  ,9:00 AM  - 9:50 AM  ,"MacInnes, Molly M ","MacInnes, Molly",,,24 /24 ,4.00000,,RECORD COUNT 695
93288,Active,CHM-210-02,Analytical Chemistry w/lab,MWF  ,10:00 AM - 10:50 AM  ,"Graham, Andrew M ","Graham, Andrew",,,24 /24 ,4.00000,,RECORD COUNT 695
93289,Active,CHM-210L-01,Analytical Chemistry Lab,T  ,1:00 PM  - 3:50 PM  ,"Graham, Andrew M ","Graham, Andrew",,,24 /24 ,0.00000,,RECORD COUNT 695
93290,Active,CHM-210L-02,Analytical Chemistry Lab,W  ,1:00 PM  - 3:50 PM  ,"MacInnes, Molly M ","MacInnes, Molly",,,24 /24 ,0.00000,,RECORD COUNT 695
93291,Active,CHM-221-01,Organic Chemistry I w/lab,MWF TH,8:00 AM  - 8:50 AM 8:00 AM  - 10:50 AM,"Trimmer, Elizabeth E ","Trimmer, Elizabeth",,,20 /20 ,4.00000,,RECORD COUNT 695
93292,Active,CHM-222-01,Organic Chemistry II w/lab,MWF  ,8:00 AM  - 8:50 AM  ,"Sieck, Stephen R ","Sieck, Steve",,,24 /24 ,4.00000,,RECORD COUNT 695
93293,Active,CHM-222-02,Organic Chemistry II w/lab,MWF  ,11:00 AM - 11:50 AM  ,"Swartz, James E ","Swartz, Jim",,,24 /24 ,4.00000,,RECORD COUNT 695
93294,Active,CHM-222-03,Organic Chemistry II w/lab,TTH  ,8:30 AM  - 9:50 AM  ,"Leggans, Erick K ","Leggans, Erick",,,24 /24 ,4.00000,,RECORD COUNT 695
93295,Active,CHM-222L-01,Organic Chemistry II Lab,M  ,1:00 PM  - 3:50 PM  ,"Leggans, Erick K ","Leggans, Erick",,,20 /20 ,0.00000,,RECORD COUNT 695
93296,Active,CHM-222L-02,Organic Chemistry II Lab,T  ,8:00 AM  - 10:50 AM  ,"Sieck, Stephen R ","Sieck, Steve",,,20 /20 ,0.00000,,RECORD COUNT 695
93297,Active,CHM-222L-03,Organic Chemistry II Lab,T  ,1:00 PM  - 3:50 PM  ,"Leggans, Erick K ","Leggans, Erick",,,20 /20 ,0.00000,,RECORD COUNT 695
93298,Active,CHM-222L-04,Organic Chemistry II Lab,TH  ,1:00 PM  - 3:50 PM  ,"Swartz, James E ","Swartz, Jim",,,20 /20 ,0.00000,,RECORD COUNT 695
93668,Active,CHM-232-01,Fndtns Inorg Chem w/lab,MWF W,10:00 AM - 10:50 AM 1:00 PM  - 3:50 PM ,"Kamunde-Devonish, Maisha ","Kamunde-Devonish, Maisha",,,12 /12 ,4.00000,,RECORD COUNT 695
93519,Active,CHM-330-01,Bioorganic Chemistry w/lab,T TH,10:00 AM - 11:50 AM 10:00 AM - 10:50 AM,"Trimmer, Elizabeth E ","Trimmer, Elizabeth",,,12 /12 ,4.00000,,RECORD COUNT 695
93302,Active,CHM-340-01,Aquatic Geochemistry w/lab,TTH W,8:30 AM  - 9:50 AM 1:00 PM  - 3:50 PM ,"Graham, Andrew M ","Graham, Andrew",,,12 /12 ,4.00000,,RECORD COUNT 695
93303,Active,CHM-363-01,Physical Chemistry I w/lab,MWF  ,10:00 AM - 10:50 AM  ,"Ortiz, Corasi ","Ortiz, Cori",,,24 /24 ,4.00000,,RECORD COUNT 695
93304,Active,CHM-363L-01,Physical Chemistry I Lab,M  ,1:00 PM  - 3:50 PM  ,"Hernandez, Heriberto ","Hernandez, Heriberto",,,12 /12 ,0.00000,,RECORD COUNT 695
